Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,3/22/13,Indiana,N,James Madison,W 83-62,200,29,55,0.527,20,32,0.625,9,23,0.391,16,21,0.762,83
122,3/22/13,Minnesota,N,UCLA,W 83-63,200,31,61,0.508,22,45,0.489,9,16,0.563,12,19,0.632,83
123,3/20/14,Saint Louis,N,NC State,W 83-80 (OT),225,31,64,0.484,22,46,0.478,9,18,0.5,12,26,0.462,83
124,3/23/14,UNC,N,Iowa State,L 83-85,200,33,70,0.471,25,50,0.5,8,20,0.4,9,15,0.6,83
125,3/23/14,Tennessee,N,Mercer,W 83-63,200,27,55,0.491,21,33,0.636,6,22,0.273,23,26,0.885,83
126,3/20/15,Iowa,N,Davidson,W 83-52,200,35,69,0.507,29,53,0.547,6,16,0.375,7,10,0.7,83
127,3/17/16,UNC,N,Fla. Gulf Coast,W 83-67,200,31,72,0.431,24,51,0.471,7,21,0.333,14,19,0.737,83
128,3/17/16,Purdue,N,Little Rock,L 83-85 (2OT),250,26,62,0.419,17,34,0.5,9,28,0.321,22,28,0.786,83
129,4/2/16,UNC,N,Syracuse,W 83-66,200,35,65,0.538,31,48,0.646,4,17,0.235,9,11,0.818,83
130,3/18/17,West Virginia,N,Notre Dame,W 83-71,200,27,54,0.5,19,40,0.475,8,14,0.571,21,26,0.808,83
131,3/24/17,Wisconsin,N,Florida,L 83-84 (OT),225,28,55,0.509,21,38,0.553,7,17,0.412,20,30,0.667,83
132,3/25/17,Gonzaga,N,Xavier,W 83-59,200,29,61,0.475,17,37,0.459,12,24,0.5,13,25,0.52,83
133,3/15/18,Rhode Island,N,Oklahoma,W 83-78 (OT),225,30,77,0.39,19,49,0.388,11,28,0.393,12,20,0.6,83
134,3/15/18,NC State,N,Seton Hall,L 83-94,200,28,61,0.459,17,31,0.548,11,30,0.367,16,27,0.593,83
135,3/15/18,Virginia Tech,N,Alabama,L 83-86,200,30,54,0.556,21,36,0.583,9,18,0.5,14,20,0.7,83
136,3/16/18,Texas,N,Nevada,L 83-87 (OT),225,31,67,0.463,20,43,0.465,11,24,0.458,10,18,0.556,83
137,3/16/18,Texas Southern,N,Xavier,L 83-102,200,26,65,0.4,18,40,0.45,8,25,0.32,23,27,0.852,83
