Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
402,11/18/14,BYU,,Little Rock,W 91-62,200,37,69,0.536,30,49,0.612,7,20,0.35,10,20,0.5,91
403,11/18/14,Oklahoma State,,Northwest Oklahoma State,W 91-45,200,35,63,0.556,25,40,0.625,10,23,0.435,11,19,0.579,91
404,11/19/14,Valparaiso,,Indiana-South Bend,W 91-55,200,35,64,0.547,25,40,0.625,10,24,0.417,11,20,0.55,91
405,11/20/14,West Virginia,N,George Mason,W 91-65,200,32,72,0.444,23,46,0.5,9,26,0.346,18,26,0.692,91
406,11/22/14,UCSB,,Master's,W 91-45,200,34,65,0.523,24,43,0.558,10,22,0.455,13,16,0.813,91
407,11/22/14,Western Mich.,,Drake,W 91-75,200,33,54,0.611,23,31,0.742,10,23,0.435,15,19,0.789,91
408,11/25/14,Abilene Christ.,,Jarvis Christian,W 91-65,200,32,72,0.444,22,42,0.524,10,30,0.333,17,25,0.68,91
409,11/26/14,George Washington,,Longwood,W 91-66,200,29,56,0.518,23,41,0.561,6,15,0.4,27,39,0.692,91
410,11/26/14,Ohio State,,Campbell,W 91-64,200,34,56,0.607,26,36,0.722,8,20,0.4,15,19,0.789,91
411,11/28/14,Alabama State,N,Tx-Rio Grande,W 91-79,200,35,78,0.449,27,61,0.443,8,17,0.471,13,17,0.765,91
412,11/29/14,Michigan,,Nicholls State,W 91-62,200,32,58,0.552,18,34,0.529,14,24,0.583,13,16,0.813,91
413,11/29/14,Western Ill.,,Greenville,W 91-56,200,35,64,0.547,25,43,0.581,10,21,0.476,11,15,0.733,91
414,12/2/14,Arizona,,Gardner-Webb,W 91-65,200,36,64,0.563,26,47,0.553,10,17,0.588,9,18,0.5,91
415,12/2/14,BYU,@,Utah State,W 91-81,200,26,66,0.394,21,41,0.512,5,25,0.2,34,39,0.872,91
416,12/6/14,Washington St.,,UTSA,W 91-71,200,31,51,0.608,13,21,0.619,18,30,0.6,11,15,0.733,91
417,12/7/14,UNC Asheville,,Limestone,W 91-66,200,33,67,0.493,23,45,0.511,10,22,0.455,15,23,0.652,91
418,12/9/14,Creighton,,South Dakota,W 91-88 (2OT),250,27,62,0.435,16,36,0.444,11,26,0.423,26,35,0.743,91
419,12/11/14,Boise State,,NW Nazarene,W 91-51,200,33,59,0.559,20,35,0.571,13,24,0.542,12,13,0.923,91
420,12/11/14,Fort Wayne,,Michigan-Dearborn,W 91-67,200,30,59,0.508,19,26,0.731,11,33,0.333,20,30,0.667,91
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
421,12/13/14,Iona,,Indiana State,W 91-84,200,28,59,0.475,17,29,0.586,11,30,0.367,24,33,0.727,91
