Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
406,1/26/12,Oakland,,S Dakota St.,W 92-87,200,27,58,0.466,13,30,0.433,14,28,0.5,24,32,0.75,92
407,1/28/12,Austin Peay,,UT-Martin,W 92-73,200,30,55,0.545,26,45,0.578,4,10,0.4,28,39,0.718,92
408,1/28/12,Fla. Gulf Coast,,Kennesaw State,W 92-74,200,29,48,0.604,22,32,0.688,7,16,0.438,27,34,0.794,92
409,2/1/12,Evansville,@,Bradley,W 92-62,200,41,68,0.603,38,59,0.644,3,9,0.333,7,13,0.538,92
410,2/2/12,Weber State,,Portland State,W 92-79,200,31,57,0.544,16,29,0.552,15,28,0.536,15,18,0.833,92
411,2/4/12,Bethune-Cookman,,N.C. A&T,W 92-79,200,33,62,0.532,22,39,0.564,11,23,0.478,15,23,0.652,92
412,2/18/12,South Dakota,,Texas State,L 92-93,200,32,63,0.508,22,40,0.55,10,23,0.435,18,24,0.75,92
413,2/18/12,Vermont,,Niagara,W 92-70,200,32,58,0.552,24,35,0.686,8,23,0.348,20,22,0.909,92
414,2/21/12,Evansville,@,Creighton,L 92-93 (OT),225,33,56,0.589,25,42,0.595,8,14,0.571,18,25,0.72,92
415,2/27/12,Gonzaga,,Longwood,W 92-60,200,35,64,0.547,22,35,0.629,13,29,0.448,9,14,0.643,92
416,2/28/12,West Virginia,,DePaul,W 92-75,200,31,61,0.508,26,50,0.52,5,11,0.455,25,38,0.658,92
417,2/29/12,NW St.,,Nicholls State,W 92-61,200,35,55,0.636,24,37,0.649,11,18,0.611,11,17,0.647,92
418,3/3/12,TCU,,San Diego State,L 92-98 (OT),225,29,70,0.414,19,44,0.432,10,26,0.385,24,34,0.706,92
419,3/6/12,UMass,,Duquesne,W 92-83,200,30,59,0.508,22,42,0.524,8,17,0.471,24,31,0.774,92
420,3/8/12,McNeese State,N,Texas-Arlington,W 92-72,200,32,59,0.542,21,35,0.6,11,24,0.458,17,22,0.773,92
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
421,3/9/12,New Mexico St.,N,Hawaii,W 92-81,200,34,64,0.531,27,47,0.574,7,17,0.412,17,24,0.708,92
422,3/9/12,Michigan State,N,Iowa,W 92-75,200,32,55,0.582,24,37,0.649,8,18,0.444,20,27,0.741,92
423,3/19/12,Stanford,,Illinois State,W 92-88 (OT),225,34,65,0.523,22,45,0.489,12,20,0.6,12,21,0.571,92
424,11/11/11,DePaul,,Tx-Rio Grande,W 91-72,200,37,72,0.514,25,45,0.556,12,27,0.444,5,7,0.714,91
425,11/11/11,Marquette,,Mt. St. Mary's,W 91-37,200,36,64,0.563,32,45,0.711,4,19,0.211,15,20,0.75,91
