Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
50,Central Florida,32,19,13,0.594,4.75,3.75,9,9,12,4,5,6,2007,1975,64.9,94.7,0.262,0.34,0.491,49.5,55.8,9.7,11.2,0.457,16.4,28.6,0.189
51,Central Michigan,36,21,15,0.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,69.3,104.9,0.261,0.42,0.545,49.3,50.7,8,11.3,0.518,16,29.4,0.189
52,Charleston Southern,31,15,16,0.484,-8.15,-6.15,9,9,9,6,6,10,2232,2133,67.5,100.3,0.34,0.451,0.559,48.8,57.4,8.7,8.4,0.521,20.2,27.3,0.256
53,Charlotte,29,6,23,0.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,72.2,110.1,0.321,0.355,0.57,51.3,48.9,10.6,9.6,0.543,15.4,28.6,0.228
54,Chattanooga,33,10,23,0.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,67.4,107,0.279,0.345,0.569,50.8,49,10.4,11.2,0.54,16.8,27,0.209
55,Chicago State,32,3,29,0.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,74,116.4,0.418,0.389,0.603,54.5,61.4,8.8,10.7,0.575,16.6,33.5,0.295
56,Cincinnati,36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.2,86.9,0.268,0.378,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.8,0.183
57,Citadel,32,11,21,0.344,-13.63,-2.94,5,13,7,8,3,12,2639,2819,79.6,109.8,0.292,0.43,0.583,53.9,60.5,9.6,13.3,0.558,18.3,32.7,0.211
58,Clemson,35,25,10,0.714,17.17,9.25,11,7,15,1,4,6,2584,2307,67.6,96.9,0.272,0.374,0.503,48.3,48.5,8.4,10.6,0.472,15.2,26,0.19
59,Cleveland State,35,12,23,0.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,69.2,107.1,0.308,0.396,0.555,55.7,56.4,7.5,10.4,0.527,17.2,33,0.22
