Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
96,Florida International,32,19,13,0.594,-3.76,-1.3,10,8,12,4,5,8,2643,2555,80.7,102.3,0.376,0.415,0.53,45.5,50.2,13.1,11.5,0.505,15.2,26.2,0.24
97,Florida State,34,27,7,0.794,18.37,10.58,13,5,15,1,6,4,2547,2282,69.2,106.7,0.363,0.383,0.547,53.3,49.8,9.9,12.5,0.507,16.5,33.1,0.269
98,Florida,34,19,15,0.559,15.74,11.12,9,9,9,6,5,6,2321,2164,64.8,104.2,0.303,0.434,0.532,49.6,51.1,11,11.3,0.499,15.5,31.1,0.218
99,Fordham,32,12,20,0.375,-4.76,-2.15,3,15,9,10,3,8,2108,2141,66.4,98,0.244,0.44,0.5,47.5,47.4,8.7,9.9,0.475,14.1,25.3,0.166
100,Fresno State,32,23,9,0.719,9.32,1,13,5,13,4,7,3,2448,2162,69.6,109.5,0.307,0.481,0.573,51,54,10.2,10.6,0.546,15.8,27.1,0.221
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Furman,32,25,7,0.781,8,-1.49,13,5,13,2,11,4,2492,2106,68.3,112.3,0.261,0.478,0.583,51.2,56.4,12.6,11.7,0.563,15.8,29.9,0.186
102,Gardner-Webb,34,23,11,0.676,-3.05,-5.4,11,6,13,0,8,9,2662,2397,68.7,111.6,0.385,0.364,0.588,49.5,52.7,9.8,8.8,0.559,14.7,24.8,0.274
103,George Mason,33,18,15,0.545,1.04,0.29,11,7,11,6,6,6,2314,2289,68.1,102.2,0.342,0.343,0.537,51.3,48.4,9,8.2,0.501,16.6,28.9,0.245
104,George Washington,33,9,24,0.273,-6.4,1.45,4,14,6,11,2,10,2097,2356,67.5,92.8,0.326,0.343,0.493,47.4,50.3,7.5,8.3,0.458,16.3,23.3,0.223
105,Georgetown,32,19,13,0.594,7.53,5.91,9,9,13,5,5,6,2557,2505,73.4,106,0.386,0.376,0.553,52.2,61.1,7.8,10.6,0.512,15.8,28.9,0.284
106,Georgia Southern,33,21,12,0.636,3.96,0.34,12,6,10,4,7,7,2726,2489,75.3,108.8,0.356,0.311,0.575,50.7,39.6,10.1,10.5,0.549,16,27.9,0.246
107,Georgia State,33,24,9,0.727,3.1,0.35,13,5,13,1,7,7,2543,2407,71.4,107.9,0.355,0.438,0.57,45.7,46.3,11.2,14.4,0.549,14.7,23.5,0.235
108,Georgia Tech,32,14,18,0.438,7.51,8.73,6,12,11,7,3,9,2091,2130,68.1,95.6,0.343,0.334,0.525,48.3,57.4,10.1,14.4,0.492,18.7,25.3,0.236
109,Georgia,32,11,21,0.344,5.62,8.43,2,16,8,9,2,9,2274,2364,70.4,100.9,0.413,0.37,0.54,52.1,54.5,8.2,12.7,0.501,19.4,32.7,0.291
110,Gonzaga,33,30,3,0.909,28.23,4.44,16,0,17,0,9,1,2932,2147,71.6,124.1,0.36,0.353,0.627,54.3,55.9,10.5,13.4,0.596,12.8,30.6,0.276
111,Grambling,33,17,16,0.515,-9.96,-9.59,10,8,11,3,6,11,2353,2262,71.5,98.9,0.433,0.302,0.545,50.7,49.6,7.9,11.7,0.509,19.4,26.7,0.296
112,Grand Canyon,33,20,13,0.606,4.49,-1.45,10,6,12,2,5,7,2497,2276,69.4,108.1,0.339,0.385,0.553,52.1,52.8,8.7,5.9,0.517,15,29.7,0.248
113,Green Bay,33,17,16,0.515,-3.31,-0.01,10,8,12,3,4,12,2653,2633,76.4,104.4,0.346,0.363,0.547,47.6,51.8,10.2,10.8,0.515,14.8,25,0.244
114,Hampton,31,15,16,0.484,-4.28,-5.35,9,7,10,3,5,11,2533,2380,72.8,109.6,0.354,0.385,0.547,50.2,50.6,8.4,9.5,0.5,12.6,27.9,0.276
115,Hartford,33,18,15,0.545,-3.68,-4.62,10,6,10,4,8,9,2477,2407,68,108.4,0.332,0.454,0.574,47.4,54.5,10,6,0.542,15.7,25.3,0.246
116,Harvard,29,18,11,0.621,1.38,0.17,10,4,9,2,7,8,2074,2028,68.5,102.2,0.313,0.424,0.563,53.2,47.5,8.2,11,0.535,19.9,28,0.223
117,Hawaii,31,18,13,0.581,-1.06,-3.37,9,7,12,5,4,5,2241,2131,67.6,106.1,0.33,0.43,0.555,51.1,60.7,7.4,5.8,0.527,15.4,26.8,0.229
118,High Point,31,16,15,0.516,-5.77,-4.53,9,7,9,4,5,8,2115,2105,65.5,103,0.351,0.339,0.527,55,52.9,8.3,9.8,0.496,16.8,34.2,0.238
119,Hofstra,35,27,8,0.771,5.04,-4.16,15,3,15,1,10,5,2919,2553,68.3,118.8,0.373,0.389,0.603,50.3,49.3,9.3,9.2,0.561,12.4,27.7,0.299
120,Holy Cross,33,16,17,0.485,-6.27,-3.85,6,12,8,6,6,11,2216,2296,65,102.1,0.231,0.365,0.544,43.5,60.1,11.1,12.4,0.527,14.7,20.5,0.154
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Houston Baptist,30,12,18,0.4,-9,-5.18,8,10,9,4,3,13,2465,2484,75,107.3,0.418,0.31,0.542,52.2,51.9,10.2,4.5,0.509,16.3,35,0.282
122,Houston,34,31,3,0.912,18.23,3.85,16,2,19,1,10,1,2571,2082,67.6,111.9,0.319,0.429,0.55,54.9,55.8,9.5,13.8,0.521,14.2,34.4,0.224
123,Howard,33,17,16,0.515,-12.36,-9.79,10,6,6,8,9,7,2612,2580,74.7,105.1,0.362,0.306,0.53,48.4,49.2,7.8,11.1,0.49,14.5,30.4,0.261
124,Idaho State,30,11,19,0.367,-13.15,-4.79,7,13,6,7,5,11,2198,2369,68.9,106.3,0.286,0.432,0.555,48.6,49.2,7.4,7.9,0.526,15.4,26.8,0.21
125,Idaho,32,5,27,0.156,-18.72,-6.16,2,18,4,11,1,13,2174,2460,67.9,99.6,0.287,0.384,0.542,47.7,51.3,6,4.8,0.512,17.8,24.2,0.208
