Unnamed: 0_level_0,Unnamed: 1_level_0,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Unnamed: 16_level_0,Unnamed: 17_level_0,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Unnamed: 16_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
261,Samford,32,11,21,.344,-10.05,-4.38,9,9,7,6,4,12,1957,2114,,1305,745,1656,.450,199,565,.352,425,596,.713,343,1072,410,220,111,402,514
262,San Diego State NCAA,34,23,11,.676,13.01,6.19,9,7,14,1,4,6,2356,2077,,1365,754,1917,.393,203,628,.323,366,540,.678,341,1128,425,180,102,429,601
263,San Diego,34,16,18,.471,-0.55,2.60,7,9,10,5,4,9,2215,2260,,1370,810,1822,.445,173,541,.320,467,660,.708,377,1153,401,240,132,453,599
264,San Francisco,31,15,16,.484,2.42,2.83,7,9,8,7,6,5,2161,2141,,1245,769,1758,.437,204,596,.342,399,564,.707,311,1084,346,168,75,363,540
265,San Jose State,29,9,20,.310,-9.39,-0.92,3,14,5,9,4,9,1802,1999,,1165,711,1658,.429,174,527,.330,403,562,.717,321,1066,401,179,148,376,538
266,Santa Clara,38,26,12,.684,6.58,1.72,9,7,15,5,10,6,2827,2577,,1530,875,2070,.423,212,620,.342,615,854,.720,434,1321,475,223,102,568,684
267,Savannah State,34,19,15,.559,-5.41,-4.73,11,5,11,3,7,11,1931,1887,,1380,639,1635,.391,129,452,.285,480,730,.658,363,1084,353,286,153,567,577
268,Seattle,30,8,22,.267,-4.53,-1.05,3,15,5,11,3,9,1966,2058,,1215,691,1696,.407,197,609,.323,479,707,.678,334,1041,357,287,95,430,490
269,Seton Hall,33,15,18,.455,5.54,5.96,3,15,10,7,2,9,2136,2150,,1330,735,1781,.413,192,564,.340,488,697,.700,378,1116,418,296,114,419,562
270,Siena,32,8,24,.250,-10.25,-1.87,4,14,4,10,2,12,1921,2189,,1290,798,1862,.429,219,661,.331,374,515,.726,387,1097,455,257,144,351,559
271,South Alabama,30,17,13,.567,-2.89,-2.96,14,6,10,3,7,7,2060,2040,,1210,720,1707,.422,160,483,.331,440,634,.694,360,1053,319,226,106,443,619
